tag,year,cik,start,end,val,accn,url
Revenues,2019,713676,2019-01-01,2019-12-31,16839000000,0000713676-22-000019,https://data.sec.gov/api/xbrl/frames/us-gaap/Revenues/USD/CY2019.json
Revenues,2019,715957,2019-01-01,2019-12-31,14401000000,0001564590-22-006589,https://data.sec.gov/api/xbrl/frames/us-gaap/Revenues/USD/CY2019.json
Revenues,2019,720005,2018-10-01,2019-09-30,8023000000,0000720005-21-000106,https://data.sec.gov/api/xbrl/frames/us-gaap/Revenues/USD/CY2019.json
Revenues,2019,721371,2018-07-01,2019-06-30,145534000000,0000721371-21-000080,https://data.sec.gov/api/xbrl/frames/us-gaap/Revenues/USD/CY2019.json
Revenues,2019,723531,2019-06-01,2020-05-31,4040500000,0000950170-22-012734,https://data.sec.gov/api/xbrl/frames/us-gaap/Revenues/USD/CY2019.json
Revenues,2019,726728,2019-01-01,2019-12-31,1488163000,0000726728-22-000046,https://data.sec.gov/api/xbrl/frames/us-gaap/Revenues/USD/CY2019.json
Revenues,2019,726958,2019-05-01,2020-04-30,9175296000,0000726958-22-000065,https://data.sec.gov/api/xbrl/frames/us-gaap/Revenues/USD/CY2019.json
Revenues,2019,731766,2019-01-01,2019-12-31,242155000000,0000731766-22-000008,https://data.sec.gov/api/xbrl/frames/us-gaap/Revenues/USD/CY2019.json
Revenues,2019,731802,2018-10-01,2019-09-30,2901848000,0000731802-21-000040,https://data.sec.gov/api/xbrl/frames/us-gaap/Revenues/USD/CY2019.json
Revenues,2019,732712,2019-01-01,2019-12-31,131868000000,0000732712-22-000008,https://data.sec.gov/api/xbrl/frames/us-gaap/Revenues/USD/CY2019.json
Revenues,2019,732717,2019-01-01,2019-12-31,181193000000,0000732717-22-000015,https://data.sec.gov/api/xbrl/frames/us-gaap/Revenues/USD/CY2019.json
Revenues,2019,740260,2019-01-01,2019-12-31,3872750000,0000740260-22-000057,https://data.sec.gov/api/xbrl/frames/us-gaap/Revenues/USD/CY2019.json
Revenues,2019,759944,2019-01-01,2019-12-31,6491000000,0000759944-22-000025,https://data.sec.gov/api/xbrl/frames/us-gaap/Revenues/USD/CY2019.json
Revenues,2019,764478,2019-02-03,2020-02-01,43638000000,0000764478-22-000008,https://data.sec.gov/api/xbrl/frames/us-gaap/Revenues/USD/CY2019.json
Revenues,2019,764622,2019-01-01,2019-12-31,3471209000,0000764622-22-000014,https://data.sec.gov/api/xbrl/frames/us-gaap/Revenues/USD/CY2019.json
Revenues,2019,765880,2019-01-01,2019-12-31,1240339000,0001628280-22-002117,https://data.sec.gov/api/xbrl/frames/us-gaap/Revenues/USD/CY2019.json
Revenues,2019,766704,2019-01-01,2019-12-31,5121306000,0000766704-22-000013,https://data.sec.gov/api/xbrl/frames/us-gaap/Revenues/USD/CY2019.json
Revenues,2019,783325,2019-01-01,2019-12-31,7523100000,0000107815-22-000116,https://data.sec.gov/api/xbrl/frames/us-gaap/Revenues/USD/CY2019.json
Revenues,2019,788784,2019-01-01,2019-12-31,10076000000,0001628280-22-003860,https://data.sec.gov/api/xbrl/frames/us-gaap/Revenues/USD/CY2019.json
Revenues,2019,796343,2018-12-01,2019-11-29,11171000000,0000796343-22-000032,https://data.sec.gov/api/xbrl/frames/us-gaap/Revenues/USD/CY2019.json
Revenues,2019,797468,2019-01-01,2019-12-31,20911000000,0000797468-22-000008,https://data.sec.gov/api/xbrl/frames/us-gaap/Revenues/USD/CY2019.json
Revenues,2019,804328,2018-10-01,2019-09-29,24273000000,0001728949-21-000076,https://data.sec.gov/api/xbrl/frames/us-gaap/Revenues/USD/CY2019.json
Revenues,2019,811156,2019-01-01,2019-12-31,6624000000,0000811156-22-000048,https://data.sec.gov/api/xbrl/frames/us-gaap/Revenues/USD/CY2019.json
Revenues,2019,820027,2019-01-01,2019-12-31,13103000000,0000820027-22-000016,https://data.sec.gov/api/xbrl/frames/us-gaap/Revenues/USD/CY2019.json
Revenues,2019,821189,2019-01-01,2019-12-31,17380000000,0000821189-22-000017,https://data.sec.gov/api/xbrl/frames/us-gaap/Revenues/USD/CY2019.json
Revenues,2019,827052,2019-01-01,2019-12-31,12347000000,0000827052-22-000006,https://data.sec.gov/api/xbrl/frames/us-gaap/Revenues/USD/CY2019.json
Revenues,2019,829224,2018-10-01,2019-09-29,26508600000,0000829224-21-000086,https://data.sec.gov/api/xbrl/frames/us-gaap/Revenues/USD/CY2019.json
Revenues,2019,831001,2019-01-01,2019-12-31,75067000000,0000831001-22-000059,https://data.sec.gov/api/xbrl/frames/us-gaap/Revenues/USD/CY2019.json
Revenues,2019,831259,2019-01-01,2019-12-31,14402000000,0000831259-22-000009,https://data.sec.gov/api/xbrl/frames/us-gaap/Revenues/USD/CY2019.json
Revenues,2019,832101,2019-01-01,2019-12-31,2494600000,0000832101-22-000008,https://data.sec.gov/api/xbrl/frames/us-gaap/Revenues/USD/CY2019.json
Revenues,2019,860730,2019-01-01,2019-12-31,51336000000,0001193125-22-046707,https://data.sec.gov/api/xbrl/frames/us-gaap/Revenues/USD/CY2019.json
Revenues,2019,864749,2018-12-29,2020-01-03,3271300000,0000864749-22-000044,https://data.sec.gov/api/xbrl/frames/us-gaap/Revenues/USD/CY2019.json
Revenues,2019,866787,2018-08-26,2019-08-31,11863743000,0001558370-21-013446,https://data.sec.gov/api/xbrl/frames/us-gaap/Revenues/USD/CY2019.json
Revenues,2019,874761,2019-01-01,2019-12-31,10189000000,0000874761-22-000022,https://data.sec.gov/api/xbrl/frames/us-gaap/Revenues/USD/CY2019.json
Revenues,2019,874766,2019-01-01,2019-12-31,20740000000,0000874766-22-000019,https://data.sec.gov/api/xbrl/frames/us-gaap/Revenues/USD/CY2019.json
Revenues,2019,875045,2019-01-01,2019-12-31,14377900000,0000875045-22-000007,https://data.sec.gov/api/xbrl/frames/us-gaap/Revenues/USD/CY2019.json
Revenues,2019,879101,2019-01-01,2019-12-31,1158884000,0001437749-22-004700,https://data.sec.gov/api/xbrl/frames/us-gaap/Revenues/USD/CY2019.json
Revenues,2019,879169,2019-01-01,2019-12-31,2158759000,0001558370-22-000902,https://data.sec.gov/api/xbrl/frames/us-gaap/Revenues/USD/CY2019.json
Revenues,2019,882095,2019-01-01,2019-12-31,22449000000,0000882095-21-000008,https://data.sec.gov/api/xbrl/frames/us-gaap/Revenues/USD/CY2019.json
Revenues,2019,882184,2018-10-01,2019-09-30,17592900000,0000882184-21-000190,https://data.sec.gov/api/xbrl/frames/us-gaap/Revenues/USD/CY2019.json
