year,facility_id,parent_company_raw,owner_segment,share,facility_co2e_tonnes,ticker,attributed_co2e_tonnes
2018,1000968,AMERICAN ELECTRIC POWER (100%),AMERICAN ELECTRIC POWER,1.0,0.0,AEP,0.0
2018,1000971,FIRSTENERGY GENERATION CORP (100%),FIRSTENERGY GENERATION CORP,1.0,5538516.834,FE,5538516.834
2018,1000976,AMERICAN ELECTRIC POWER (100%),AMERICAN ELECTRIC POWER,1.0,5662167.442,AEP,5662167.442
2018,1000977,DOMINION ENERGY INC (100%),DOMINION ENERGY INC,1.0,5367380.2,D,5367380.2
2018,1000978,XCEL ENERGY (100%),XCEL ENERGY,1.0,288413.53400000004,XEL,288413.53400000004
2018,1000982,WEC Energy Group (100%),WEC Energy Group,1.0,5112144.488,WEC,5112144.488
2018,1000983,ALLIANT ENERGY CORP (87.2%); INTEGRYS ENERGY GROUP INC (12.8%),ALLIANT ENERGY CORP,0.872,3442632.586,LNT,3001975.614992
2018,1000985,WEC Energy Group (100%),WEC Energy Group,1.0,172639.96,WEC,172639.96
2018,1000986,WEC Energy Group (76%); Dairyland Power Cooperative (24%),WEC Energy Group,0.76,4164059.344,WEC,3164685.10144
2018,1000990,BERKSHIRE HATHAWAY INC (100%),BERKSHIRE HATHAWAY INC,1.0,5336374.734,BRK.B,5336374.734
2018,1000991,BERKSHIRE HATHAWAY INC (100%),BERKSHIRE HATHAWAY INC,1.0,5094003.58,BRK.B,5094003.58
2018,1000998,AMERICAN ELECTRIC POWER (100%),AMERICAN ELECTRIC POWER,1.0,407176.54,AEP,407176.54
2018,1001001,FIRSTENERGY GENERATION CORP (100%),FIRSTENERGY GENERATION CORP,1.0,6659463.864,FE,6659463.864
2018,1001002,ENTERGY CORP (57%); CITY WATER & LIGHT OF JONESBORO (5%); ARKANSAS ELECTRIC COOPERATIVE CORP (35%); CONWAY CORP OF CONWAY AR (2%); CITY OF WEST MEMPHIS AR (1%),ENTERGY CORP,0.57,8459762.732,ETR,4822064.75724
2018,1001004,Vistra Energy Corp (100%),Vistra Energy Corp,1.0,2392096.38,VST,2392096.38
2018,1001005,Vistra Energy Corp (100%),Vistra Energy Corp,1.0,3061528.148,VST,3061528.148
2018,1001006,DUKE ENERGY CORP (100%),DUKE ENERGY CORP,1.0,2952143.67,DUK,2952143.67
2018,1001007,Vistra Energy Corp (100%),Vistra Energy Corp,1.0,7128728.352,VST,7128728.352
2018,1001008,XCEL ENERGY (6.37%); TRI-STATE GENERATION & TRANSMISSION (50.17%); SALT RIVER PROJECT (19.02%); PACIFICORP (12.64%); PLATTE RIVER POWER AUTHORITY (11.8%),XCEL ENERGY,0.0637,7637522.194,XEL,486510.16375780007
2018,1001010,AES CORP (67%); DYNEGY INC (33%),AES CORP,0.67,1544367.694,AES,1034726.35498
2018,1001011,DTE ENERGY CO (100%),DTE ENERGY CO,1.0,7842487.168,DTE,7842487.168
2018,1001012,DTE ENERGY CO (100%),DTE ENERGY CO,1.0,497231.546,DTE,497231.546
2018,1001014,DUKE ENERGY CORP (100%),DUKE ENERGY CORP,1.0,45184.051999999996,DUK,45184.051999999996
2018,1001015,MUNICIPAL ELECTRIC AUTHORITY OF GEORGIA (9%); SOUTHERN CO (72%); OGLETHORPE POWER CORP (18%); DALTON UTILITIES (1%),SOUTHERN CO,0.72,3028413.244,SO,2180457.5356799997
2018,1001016,LOUISIANA GENERATING LLC (86%); ENTERGY CORP (14%),ENTERGY CORP,0.14,4773731.3040000005,ETR,668322.3825600002
2018,1001023,NISOURCE INC (100%),NISOURCE INC,1.0,8047379.796,NI,8047379.796
