case_number,year,name,cik,match,n_defendants,penalty_usd,share_usd
06-2023-0901,2022,"Lowe's Home Centers, LLC",0000060667,subsidiary,1,141729.75,141729.75
01-2017-2017,2017,P.J. Keating Company,0000849395,subsidiary,1,140000.0,140000.0
03-2016-0124,2016,"WILLIAMS OHIO VALLEY MIDSTREAM, LLC",0000107263,subsidiary,1,140000.0,140000.0
04-2024-4200,2024,ALABAMA POWER COMPANY,0000092122,subsidiary,2,278000.0,139000.0
09-2021-5053,2021,"Chevron, U.S.A.",0000093410,subsidiary,1,132676.0,132676.0
09-2026-5006,2025,Apple Inc,0000320193,name,2,261283.0,130641.5
05-2022-7573,2021,GENERAL MILLS,0000040704,name,1,123072.0,123072.0
07-2022-0058,2022,"Pilot Travel Centers, LLC",0001067983,subsidiary,1,121469.0,121469.0
06-2023-3347,2023,Targa Downstream LLC,0001389170,subsidiary,1,121364.0,121364.0
06-2025-3355,2025,The Dow Chemical Company,0001751788,subsidiary,1,120000.0,120000.0
04-2020-2111,2021,"FORT WALTON BEACH MEDICAL CENTER, INC",0000860730,subsidiary,1,118400.0,118400.0
02-2023-1210,2023,"Medtronic Puerto Rico, Inc.",0001613103,subsidiary,1,117998.0,117998.0
09-2023-5042,2023,"NRC Environmental Services, Inc",0001060391,subsidiary,2,230000.0,115000.0
06-2019-3330,2019,Union Carbide Corporation,0001751788,subsidiary,1,114313.0,114313.0
02-2024-2009,2024,Oxy Vinyls LP,0000797468,subsidiary,1,113182.0,113182.0
03-2016-7002,2023,"WILLIAMS OHIO VALLEY MIDSTREAM, LLC",0000107263,subsidiary,9,1014750.0,112750.0
06-2025-3311,2025,"Magellan Pipeline Terminals, L.P.",0001039684,subsidiary,1,112000.0,112000.0
05-2017-5002,2016,MARATHON PETROLEUM,0001510295,name,1,110000.0,110000.0
03-2023-0141,2023,"SPS TECHNOLOGIES, LLC",0001067983,subsidiary,1,109805.0,109805.0
04-2022-0700,2022,"CORTEVA AGRISCIENCE, LLC",0001755672,subsidiary,1,109400.0,109400.0
06-2017-3349,2016,Tyson Foods,0000100493,name,1,106894.0,106894.0
06-2021-3349,2021,DISCOVERY PRODUCER SERVICES LLC,0000107263,subsidiary,1,105302.0,105302.0
01-2021-5000,2020,Fairchild Semiconductor Corporation,0001097864,subsidiary,1,104545.0,104545.0
10-2021-0056,2021,Riverbend Landfill Co,0000823768,subsidiary,1,104482.0,104482.0
09-2018-0501,2018,"Old Dominion Freight Line, Inc.",0000878927,name,1,100000.0,100000.0
10-2020-0133,2020,Starbucks Corporation,0000829224,name,1,100000.0,100000.0
06-2021-3338,2021,Occidental Chemical Corporation,0000797468,subsidiary,1,100000.0,100000.0
