ticker,year,co2e_tonnes,revenue_usd,raw_ratio
BRK.B,2019,65340851.6514436,254616000000.0,256.6250811081927
BRK.B,2020,57581146.9128168,245579000000.0,234.47097232587802
BRK.B,2021,63872126.2138448,276185000000.0,231.26573207757409
BRK.B,2022,58271336.9368222,302020000000.0,192.938669415344
BRK.B,2023,53116165.1837898,364482000000.0,145.73055784315767
BRO,2018,0.0,2014246000.0,0.0
BRO,2019,0.0,2392171000.0,0.0
BRO,2020,0.0,2613400000.0,0.0
BRO,2021,0.0,3051400000.0,0.0
BRO,2022,0.0,3573000000.0,0.0
BRO,2023,0.0,4257000000.0,0.0
BSX,2018,0.0,9823000000.0,0.0
BSX,2019,0.0,10735000000.0,0.0
BSX,2020,0.0,9913000000.0,0.0
BSX,2021,0.0,11888000000.0,0.0
BSX,2022,0.0,12682000000.0,0.0
BSX,2023,0.0,14240000000.0,0.0
BX,2018,0.0,6833259000.0,0.0
BX,2019,0.0,7338270000.0,0.0
BX,2020,0.0,6101927000.0,0.0
BX,2021,0.0,22577148000.0,0.0
BX,2022,0.0,8517673000.0,0.0
BX,2023,59808.84716966261,8022841000.0,7.454821449117913
BXP,2018,0.0,2717076000.0,0.0
BXP,2019,0.0,2960562000.0,0.0
BXP,2020,0.0,2765686000.0,0.0
BXP,2021,0.0,2888621000.0,0.0
BXP,2022,0.0,3108581000.0,0.0
BXP,2023,0.0,3273569000.0,0.0
C,2018,0.0,72854000000.0,0.0
C,2019,0.0,75067000000.0,0.0
C,2020,0.0,75501000000.0,0.0
C,2021,0.0,71884000000.0,0.0
C,2022,0.0,75338000000.0,0.0
C,2023,0.0,78066000000.0,0.0
CAH,2018,0.0,136809000000.0,0.0
CAH,2019,0.0,145534000000.0,0.0
CAH,2020,0.0,152922000000.0,0.0
CAH,2021,0.0,162467000000.0,0.0
CAH,2022,0.0,181326000000.0,0.0
CAH,2023,0.0,204979000000.0,0.0
CARR,2018,0.0,18914000000.0,0.0
CARR,2019,0.0,18608000000.0,0.0
CARR,2020,0.0,17456000000.0,0.0
CARR,2021,0.0,20613000000.0,0.0
CARR,2022,0.0,17288000000.0,0.0
CARR,2023,0.0,18951000000.0,0.0
CASY,2018,0.0,9352910000.0,0.0
CASY,2019,0.0,9175296000.0,0.0
CASY,2020,0.0,8707189000.0,0.0
CASY,2021,0.0,12952594000.0,0.0
CASY,2022,0.0,15094475000.0,0.0
CASY,2023,0.0,14862913000.0,0.0
CAT,2018,641040.844,54722000000.0,11.714499543145354
CAT,2019,596462.326,53800000000.0,11.08666033457249
CAT,2020,459261.132,41748000000.0,11.000793618855992
