ticker,data_status,n_committees,committee_ids,n_transactions,unresolved_cycles,evidence
MAA,no_pac,0,,0,,no committee in the FEC committee master names this company as sponsor
MAR,downloaded,1,C00284810,609,,"1 matched committee(s), 609 transactions"
MAS,unresolved,0,,0,,FEC committee master has: masco; masco political action committee
MCD,downloaded,1,C00063164,1596,,"1 matched committee(s), 1596 transactions"
MCHP,no_pac,0,,0,,no committee in the FEC committee master names this company as sponsor
MCK,downloaded,2,C00108035|C00465583,1436,,"2 matched committee(s), 1436 transactions"
MCO,no_pac,0,,0,,no committee in the FEC committee master names this company as sponsor
MDLZ,downloaded,1,C00529073,350,,"1 matched committee(s), 350 transactions"
MDT,downloaded,1,C00311878,1264,,"1 matched committee(s), 1264 transactions"
MET,downloaded,2,C00040923|C00493551,2011,,"2 matched committee(s), 2011 transactions"
META,downloaded,1,C00502906,1385,,"1 matched committee(s), 1385 transactions"
MGM,downloaded,1,C00299321,431,,"1 matched committee(s), 431 transactions"
MKC,unresolved,0,,0,,FEC committee master has: american renewal pac; mccormick; mccormick for congress
MLM,no_pac,0,,0,,no committee in the FEC committee master names this company as sponsor
MMM,downloaded,1,C00084475,561,,"1 matched committee(s), 561 transactions"
MNST,no_pac,0,,0,,no committee in the FEC committee master names this company as sponsor
MO,downloaded,1,C00089136,3710,,"1 matched committee(s), 3710 transactions"
MOS,unresolved,0,,0,,FEC committee master has: mosaic; mosaic political action committee mosaicpac; mosaic renewable sustainable energy pac
MPC,downloaded,1,C00496307,2113,,"1 matched committee(s), 2113 transactions"
MPWR,no_pac,0,,0,,no committee in the FEC committee master names this company as sponsor
MRK,downloaded,1,C00097485,2503,,"1 matched committee(s), 2503 transactions"
MRNA,no_pac,0,,0,,no committee in the FEC committee master names this company as sponsor
MRSH,downloaded,1,C00457234,1251,,"1 matched committee(s), 1251 transactions"
MRVL,no_pac,0,,0,,no committee in the FEC committee master names this company as sponsor
MS,downloaded,1,C00337626,2732,,"1 matched committee(s), 2732 transactions"
MSCI,no_pac,0,,0,,no committee in the FEC committee master names this company as sponsor
MSFT,downloaded,1,C00227546,3732,,"1 matched committee(s), 3732 transactions"
MSI,downloaded,1,C00075341,1276,,"1 matched committee(s), 1276 transactions"
MTB,downloaded,1,C00137273,235,,"1 matched committee(s), 235 transactions"
MTD,no_pac,0,,0,,no committee in the FEC committee master names this company as sponsor
MU,downloaded,1,C00443671,359,,"1 matched committee(s), 359 transactions"
NCLH,no_pac,0,,0,,no committee in the FEC committee master names this company as sponsor
NDAQ,downloaded,1,C00366013,614,,"1 matched committee(s), 614 transactions"
NDSN,no_pac,0,,0,,no committee in the FEC committee master names this company as sponsor
NEE,downloaded,1,C00064774,3212,,"1 matched committee(s), 3212 transactions"
NEM,downloaded,1,C00206672,126,,"1 matched committee(s), 126 transactions"
NFLX,unresolved,0,,0,,FEC committee master has: netflix; netflix pac flixpac
NI,downloaded,1,C00051979,954,,"1 matched committee(s), 954 transactions"
NKE,downloaded,1,C00142786,844,,"1 matched committee(s), 844 transactions"
NOC,downloaded,2,C00088591|C00250209,7889,,"2 matched committee(s), 7889 transactions"
NOW,no_pac,0,,0,,no committee in the FEC committee master names this company as sponsor
NRG,downloaded,1,C00366559,222,,"1 matched committee(s), 222 transactions"
NSC,downloaded,1,C00009282,2325,,"1 matched committee(s), 2325 transactions"
NTAP,no_pac,0,,0,,no committee in the FEC committee master names this company as sponsor
NTRS,downloaded,2,C00024935|C00515148,230,,"2 matched committee(s), 230 transactions"
NUE,downloaded,1,C00379628,1526,,"1 matched committee(s), 1526 transactions"
NVDA,unresolved,0,,0,,FEC committee master has: nvidia; nvidia employees federal political action committee nvpac
NVR,no_pac,0,,0,,no committee in the FEC committee master names this company as sponsor
NWS,downloaded,1,C00546101,248,,"1 matched committee(s), 248 transactions"
NWSA,downloaded,1,C00546101,248,,"1 matched committee(s), 248 transactions"
NXPI,no_pac,0,,0,,no committee in the FEC committee master names this company as sponsor
O,no_pac,0,,0,,no committee in the FEC committee master names this company as sponsor
ODFL,downloaded,1,C00496836,426,,"1 matched committee(s), 426 transactions"
OKE,downloaded,1,C00215384,405,,"1 matched committee(s), 405 transactions"
OMC,no_pac,0,,0,,no committee in the FEC committee master names this company as sponsor
ON,no_pac,0,,0,,no committee in the FEC committee master names this company as sponsor
ORCL,downloaded,1,C00323048,1344,,"1 matched committee(s), 1344 transactions"
ORLY,no_pac,0,,0,,no committee in the FEC committee master names this company as sponsor
OTIS,downloaded,1,C00742239,39,,"1 matched committee(s), 39 transactions"
OXY,downloaded,1,C00083857,773,,"1 matched committee(s), 773 transactions"
PANW,no_pac,0,,0,,no committee in the FEC committee master names this company as sponsor
PAYX,no_pac,0,,0,,no committee in the FEC committee master names this company as sponsor
PCAR,downloaded,1,C00034355,162,,"1 matched committee(s), 162 transactions"
PCG,downloaded,1,C00177469,2273,,"1 matched committee(s), 2273 transactions"
PEG,downloaded,1,C00383489,607,,"1 matched committee(s), 607 transactions"
PEP,downloaded,1,C00039321,605,,"1 matched committee(s), 605 transactions"
PFE,downloaded,2,C00016683|C00788661,4196,,"2 matched committee(s), 4196 transactions"
PFG,no_pac,0,,0,,no committee in the FEC committee master names this company as sponsor
PG,downloaded,1,C00257329,1106,,"1 matched committee(s), 1106 transactions"
